1996.01.02 20:19 B C:\pmf\matm\resol\quest1\quest1.htm --> ftp.pmfi.hpg.com.br /matm/resol/quest1 quest1.htm
2001.07.26 22:06 B C:\pmf\matm\resol\quest1\quest1.htm --> pmfi.hpg.com.br /matm/resol/quest1 quest1.htm
2001.08.05 04:00 B C:\Meus documentos\Robson\pmf\matm\resol\quest1\Image10.gif --> pmfi.hpg.com.br /matm/resol/quest3/item01 Image10.gif
2001.08.05 04:00 B C:\Meus documentos\Robson\pmf\matm\resol\quest1\Image11.gif --> pmfi.hpg.com.br /matm/resol/quest3/item01 Image11.gif
2001.08.05 04:00 B C:\Meus documentos\Robson\pmf\matm\resol\quest1\Image12.gif --> pmfi.hpg.com.br /matm/resol/quest3/item01 Image12.gif
2001.08.05 04:00 B C:\Meus documentos\Robson\pmf\matm\resol\quest1\Image13.gif --> pmfi.hpg.com.br /matm/resol/quest3/item01 Image13.gif
2001.08.05 04:00 B C:\Meus documentos\Robson\pmf\matm\resol\quest1\Image14.gif --> pmfi.hpg.com.br /matm/resol/quest3/item01 Image14.gif
2001.08.05 04:00 B C:\Meus documentos\Robson\pmf\matm\resol\quest1\Image15.gif --> pmfi.hpg.com.br /matm/resol/quest3/item01 Image15.gif
2001.08.05 04:00 B C:\Meus documentos\Robson\pmf\matm\resol\quest1\Image16.gif --> pmfi.hpg.com.br /matm/resol/quest3/item01 Image16.gif
2001.08.05 04:00 B C:\Meus documentos\Robson\pmf\matm\resol\quest1\Image8.gif --> pmfi.hpg.com.br /matm/resol/quest3/item01 Image8.gif
2001.08.05 04:00 B C:\Meus documentos\Robson\pmf\matm\resol\quest1\Image9.gif --> pmfi.hpg.com.br /matm/resol/quest3/item01 Image9.gif
2001.08.05 04:00 B C:\Meus documentos\Robson\pmf\matm\resol\quest1\imagem.gif --> pmfi.hpg.com.br /matm/resol/quest3/item01 imagem.gif
2001.08.05 04:00 B C:\Meus documentos\Robson\pmf\matm\resol\quest1\quest1.htm --> pmfi.hpg.com.br /matm/resol/quest3/item01 quest1.htm
