2001.07.26 22:12 B C:\pmf\matm\resol\quest3\item08\item08.html --> pmfi.hpg.com.br /matm/resol/quest3/item08 item08.html
2001.08.05 04:04 B C:\Meus documentos\Robson\pmf\matm\resol\quest3\item08\figura.gif --> pmfi.hpg.com.br /matm/resol/quest3/item08 figura.gif
2001.08.05 04:04 B C:\Meus documentos\Robson\pmf\matm\resol\quest3\item08\Image22.gif --> pmfi.hpg.com.br /matm/resol/quest3/item08 Image22.gif
2001.08.05 04:04 B C:\Meus documentos\Robson\pmf\matm\resol\quest3\item08\Image23.gif --> pmfi.hpg.com.br /matm/resol/quest3/item08 Image23.gif
2001.08.05 04:04 B C:\Meus documentos\Robson\pmf\matm\resol\quest3\item08\Image24.gif --> pmfi.hpg.com.br /matm/resol/quest3/item08 Image24.gif
2001.08.05 04:04 B C:\Meus documentos\Robson\pmf\matm\resol\quest3\item08\Image25.gif --> pmfi.hpg.com.br /matm/resol/quest3/item08 Image25.gif
2001.08.05 04:04 B C:\Meus documentos\Robson\pmf\matm\resol\quest3\item08\Image26.gif --> pmfi.hpg.com.br /matm/resol/quest3/item08 Image26.gif
2001.08.05 04:04 B C:\Meus documentos\Robson\pmf\matm\resol\quest3\item08\Image27.gif --> pmfi.hpg.com.br /matm/resol/quest3/item08 Image27.gif
2001.08.05 04:04 B C:\Meus documentos\Robson\pmf\matm\resol\quest3\item08\Image28.gif --> pmfi.hpg.com.br /matm/resol/quest3/item08 Image28.gif
2001.08.05 04:04 B C:\Meus documentos\Robson\pmf\matm\resol\quest3\item08\Image29.gif --> pmfi.hpg.com.br /matm/resol/quest3/item08 Image29.gif
2001.08.05 04:04 B C:\Meus documentos\Robson\pmf\matm\resol\quest3\item08\Image30.gif --> pmfi.hpg.com.br /matm/resol/quest3/item08 Image30.gif
2001.08.05 04:04 B C:\Meus documentos\Robson\pmf\matm\resol\quest3\item08\Image32.gif --> pmfi.hpg.com.br /matm/resol/quest3/item08 Image32.gif
2001.08.05 04:04 B C:\Meus documentos\Robson\pmf\matm\resol\quest3\item08\Image33.gif --> pmfi.hpg.com.br /matm/resol/quest3/item08 Image33.gif
2001.08.05 04:04 B C:\Meus documentos\Robson\pmf\matm\resol\quest3\item08\item08.html --> pmfi.hpg.com.br /matm/resol/quest3/item08 item08.html
