2001.07.26 22:21 B C:\pmf\matm\resol\quest4\item16\conman.gif --> pmfi.hpg.com.br /matm/resol/quest4/item16 conman.gif
2001.07.26 22:21 B C:\pmf\matm\resol\quest4\item16\item16.html --> pmfi.hpg.com.br /matm/resol/quest4/item16 item16.html
2001.07.26 22:40 B C:\pmf\matm\resol\quest4\item16\item16.html --> pmfi.hpg.com.br /matm/resol/quest4/item16 item16.html
2001.08.05 04:14 B C:\Meus documentos\Robson\pmf\matm\resol\quest4\item16\Image40.gif --> pmfi.hpg.com.br /matm/resol/quest4/item16 Image40.gif
2001.08.05 04:14 B C:\Meus documentos\Robson\pmf\matm\resol\quest4\item16\Image41.gif --> pmfi.hpg.com.br /matm/resol/quest4/item16 Image41.gif
2001.08.05 04:14 B C:\Meus documentos\Robson\pmf\matm\resol\quest4\item16\Image43.gif --> pmfi.hpg.com.br /matm/resol/quest4/item16 Image43.gif
2001.08.05 04:14 B C:\Meus documentos\Robson\pmf\matm\resol\quest4\item16\Image48.gif --> pmfi.hpg.com.br /matm/resol/quest4/item16 Image48.gif
2001.08.05 04:14 B C:\Meus documentos\Robson\pmf\matm\resol\quest4\item16\Image60.gif --> pmfi.hpg.com.br /matm/resol/quest4/item16 Image60.gif
2001.08.05 04:14 B C:\Meus documentos\Robson\pmf\matm\resol\quest4\item16\Image62.gif --> pmfi.hpg.com.br /matm/resol/quest4/item16 Image62.gif
2001.08.05 04:14 B C:\Meus documentos\Robson\pmf\matm\resol\quest4\item16\Image63.gif --> pmfi.hpg.com.br /matm/resol/quest4/item16 Image63.gif
2001.08.05 04:14 B C:\Meus documentos\Robson\pmf\matm\resol\quest4\item16\Image64.gif --> pmfi.hpg.com.br /matm/resol/quest4/item16 Image64.gif
2001.08.05 04:14 B C:\Meus documentos\Robson\pmf\matm\resol\quest4\item16\Image65.gif --> pmfi.hpg.com.br /matm/resol/quest4/item16 Image65.gif
2001.08.05 04:14 B C:\Meus documentos\Robson\pmf\matm\resol\quest4\item16\Image66.gif --> pmfi.hpg.com.br /matm/resol/quest4/item16 Image66.gif
2001.08.05 04:14 B C:\Meus documentos\Robson\pmf\matm\resol\quest4\item16\item16.html --> pmfi.hpg.com.br /matm/resol/quest4/item16 item16.html
2001.08.05 04:14 B C:\Meus documentos\Robson\pmf\matm\resol\quest4\item16\tgcirc.html --> pmfi.hpg.com.br /matm/resol/quest4/item16 tgcirc.html
